0,1,2,3,4,5,6,7,8,9,10,11
16B04751929F5CDD7C6D96751D0C525C,Budapest,HU,1077,"Budapest, Baross ter 15.",Baross City Hotel,4AFB2A9D181545A320CD70054847B224,Budapest,HU,1077,Baross ter 15,Baross City Hotel - Budapest
C8135A3D116EED9C0879146634B2DD57,Budapest,HU,H-1087,Baross square 10,Golden Park Hotel,990AE135628790D80170F759700F5840,Budapest,HU,1087,Baross tér 10.,Golden Park Hotel
25880D12D7C23521FBB443FD3F90E013,Balatonlelle,HU,8638,Koztarsasag street 31.,Hotel Francoise,117E095C504B6C88805D75F3FC837102,Balatonlelle,HU,8638,Köztársaság u. 31.,Hotel Francoise
87C3EB681ED98B59648BFAB27B4D1AED,Harkany,HU,7815,Kossuth Lajos street 43,Hotel Xavin Restaurant Wellness,3748D0BA710DE14215306E9A28941950,Harkány,HU,7815,Kossuth Lajos u.43,Xavin Wellness Hotel & Restaurant
09B0473510B1CD745C903EDC271FFB52,Budapest,HU,1075,2 Madach Imre Square,Regency Suites Hotel Budapest,4E2A3C5332C92654090B105E3723479F,Budapest,HU,1075,Madách Tér 2,Regency Suites Hotel Budapest
CBB446362914279FC0CDE6879A38C857,Zsambek,HU,H-2072,Nyárfás utca 2.,Szepia Bio and Art Hotel,95795D94CBC066886798B2D75E86705B,Zsámbék,HU,2072,Nyárfás utca,Szépia Bio and Art Hotel
537A29B7B78C96A232BD54F7E21317B3,Budapest,HU,1095,Ipar street 21.,Budapest Budget Hostel,50729BFB453D79E7D20C18546616947F,Budapest,HU,1095,Ipar utca 21,Budapest Budget Hostel
4076A4055436916CFCEE67565B479AC5,Budapest,HU,1053,Veres Pálné utca 7.,Amber Terrace Studio,EF402C4A59C3B690AC7D0B5029779AA1,Budapest,HU,1053,Veres Pálné utca 7.,Amber Terrace Studios
E9A96222934DE0B13643120B913C2DCF,Budapest,HU,1082,Corvin Setany1/b,Corvin Lux Aparthotel,3B4D3321BBB32C8C383FEEF896E6DE38,Budapest,HU,1082,Corvin sétány 1/b,Corvin Lux Aparthotel
B548FBDE94C68771809325D6BAC4406C,Eger,HU,3300,9 Maklari Way,Hotel Aqua Eger,3874691448002F6AC81BEEF64BF6A138,Eger,HU,3300,Joó János u. 9,Panoráma Hotel Eger
7FEEDEE72F76ED10C5F430FCF10F8C9E,Siofok,HU,8600,Beszedes Jozsef setany 70/C,Luxury Apartment Hotel Siofok,E76D1D79E2423B50502688CD199FCEA2,Siófok,HU,8600,Beszédes József sétány 70./C,Luxury Apartment Hotel Siófok
9F66D744335548741F720B01B3FB53E4,Budapest,HU,1082,Kisfaludy Street 3.,Corvin Plaza Apartments & Suites,01B8F8642DEF1CDBC3B916318105FDFD,Budapest,HU,1082,Kisfaludy utca 3,Corvin Plaza Apartments & Suites
E347C51419FFB23CA3FD5050202F9C3D,Budapest,HU,1133,Karpat utca 62-64,Danubius Hotel Helia,B8312D2DAB7E91FDEF84F67E30941224,Budapest,HU,1133,Kárpát u. 62-64,Danubius Hotel Helia
81081DFE132949DAEA41AB323C81147C,Budapest,HU,5400,Kalman Imre Str.19.,Hotel Parlament,0CC011DF99E5873930CCB659743A221B,Budapest,HU,1054,Kálmán Imre utca 19.,Hotel Parlament
